otuID	sam396	sam397	sam398	sam399	sam401	sam402	sam403	sam404	sam412	sam414	sam415	sam417	sam418	sam419	sam479	sam482
Bv5501	0	154	1	0	195	18	0	1	0	0	46	0	0	0	1	4
Ca5501	0	0	0	0	0	0	133	0	0	21	117	14	0	0	0	0
Ec5001	0	0	152	307	396	0	0	0	0	0	0	0	0	66	0	3
Ec5002	35	0	0	0	266	0	0	0	0	27	0	0	0	0	387	0
Ec5003	0	0	0	0	0	35	0	0	22	0	0	0	0	0	458	0
Ec5004	0	0	0	0	0	0	0	0	39	0	0	7	0	51	0	0
Ec5005	18	0	66	222	0	0	148	62	0	0	0	0	0	0	0	0
Ec5501	0	0	0	0	0	0	0	0	0	26	0	15	20	0	0	14
Ec5502	0	0	56	0	0	15	0	58	16	0	0	0	0	0	0	0
Ec6001	27	188	0	0	0	0	0	155	1	0	0	0	16	0	0	0
Ga5501	0	131	0	0	0	0	50	0	0	0	42	0	0	0	0	0
Tb5501	0	0	0	196	0	0	0	0	0	0	0	0	21	48	294	0
sampleOTUs	571759	335454	259137	515518	740048	77265	484906	342329	115193	91624	129294	57487	69447	86449	1079024	169246
