otuID	sam428	sam429	sam430	sam433	sam435	sam445	sam446	sam447	sam450	sam451	sam476	sam481	sam483	sam484
Bv5501	1	0	1	0	0	0	1	0	1	0	1	0	0	0
Ca5501	374	0	776	328	535	0	823	61	193	525	353	753	466	608
Ec5001	472	0	704	371	490	0	814	65	238	495	346	630	447	666
Ec5002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ec5003	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ec5004	63	5630	0	4	0	1531	0	72	1	0	438	6	3	91
Ec5005	30	3791	0	2	0	980	0	59	0	0	279	3	3	63
Ec5501	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Ec5502	31	2289	0	1	0	542	0	33	0	1	206	1	1	62
Ec6001	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ga5501	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb5501	342	0	511	294	376	0	540	36	139	393	261	505	342	484
sampleOTUs	476378	420461	790635	402386	573291	126512	912257	65906	223117	610127	388948	742300	520499	708698
