otuID	sam300	sam301	sam302	sam303	sam305	sam306	sam307	sam308	sam316	sam317	sam318	sam319	sam321	sam322	sam323	sam324	sam332	sam333	sam334	sam335	sam337	sam338	sam339	sam340	sam348	sam349	sam350	sam351	sam353	sam354	sam355	sam356	sam364	sam365	sam366	sam367	sam369	sam370	sam371	sam372	sam380	sam381	sam382	sam383	sam385	sam386	sam387	sam388
Bv5501	598	0	2488	0	0	0	841	0	1	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	18	0	150	0	295	0	180	0	0	0	0	21	0	111	0	0	0	0	0	0	0	0	0
Ca5501	0	1757	0	0	0	706	0	0	490	0	1309	0	0	0	843	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	161	618	0	0	0	737	0	0	0	0	0	0	0	0	0	0
Ec5001	1	1921	0	4699	0	0	0	0	471	0	0	0	0	0	0	6262	0	0	0	0	0	0	0	0	0	0	531	0	0	605	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0
Ec5002	0	0	3229	0	0	0	0	0	0	303	0	747	0	535	0	0	1	0	0	0	0	0	0	0	0	0	0	0	243	0	0	257	163	0	371	0	0	0	178	0	1	0	0	0	0	0	0	0
Ec5003	0	0	0	4182	900	0	1105	0	395	310	0	0	0	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	117	0	0	0	440	0	0	0	0	0	0	0	0
Ec5004	0	0	0	0	0	1	4	1958	0	0	1943	0	0	0	1036	37	0	0	0	0	0	0	0	0	0	0	0	249	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ec5005	0	0	0	0	711	0	1000	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	112	24	0	0	0	390	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0
Ec5501	980	2216	0	0	0	708	0	0	0	0	0	989	0	0	0	6513	0	0	0	0	0	0	0	0	0	0	0	0	384	0	132	0	0	624	0	145	0	880	0	0	0	0	0	0	0	0	0	0
Ec5502	0	0	0	2824	0	0	0	0	0	215	0	0	254	0	676	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	113	0	0	169	0	0	283	0	0	0	0	0	0	0	0	0	0
Ec6001	0	0	3951	0	0	642	0	0	0	0	0	895	406	1	0	5617	0	0	0	0	0	0	1	0	0	0	402	0	0	0	0	0	158	0	0	0	0	0	0	416	0	0	0	0	0	0	0	0
Ga5501	373	0	1	0	0	0	0	1069	0	0	711	0	0	275	7	21	0	0	1	0	0	0	0	0	0	21	0	122	0	0	52	0	0	0	146	0	20	0	0	0	0	0	0	0	0	0	0	0
Tb5501	1	0	0	0	804	0	0	1687	0	0	0	0	0	0	15	31	0	0	0	0	0	0	0	0	159	0	325	0	0	0	0	0	0	523	0	0	25	0	151	0	0	0	0	0	0	0	0	0
sampleOTUs	115725	167762	404486	350980	180023	103823	131938	151012	58406	51530	148786	69950	81596	118809	165133	387235	305755	77134	53053	986808	1037	443	64	321	16605	7081	45029	28445	62715	76773	31590	37528	20499	74066	46934	14205	4328	87554	22897	58422	40417	35979	111810	101434	31	167	2	527
