stmID	controlID	value
stm01	Bv5501	1
stm01	Ca5501	0
stm01	Ec5001	0
stm01	Ec5002	0
stm01	Ec5003	0
stm01	Ec5004	0
stm01	Ec5005	0
stm01	Ec5501	0
stm01	Ec5502	0
stm01	Ec6001	1
stm01	Ga5501	1
stm01	Tb5501	0
stm02	Bv5501	0
stm02	Ca5501	1
stm02	Ec5001	0
stm02	Ec5002	1
stm02	Ec5003	0
stm02	Ec5004	0
stm02	Ec5005	0
stm02	Ec5501	1
stm02	Ec5502	0
stm02	Ec6001	0
stm02	Ga5501	0
stm02	Tb5501	0
stm03	Bv5501	0
stm03	Ca5501	0
stm03	Ec5001	1
stm03	Ec5002	0
stm03	Ec5003	0
stm03	Ec5004	0
stm03	Ec5005	1
stm03	Ec5501	0
stm03	Ec5502	0
stm03	Ec6001	0
stm03	Ga5501	0
stm03	Tb5501	1
stm04	Bv5501	0
stm04	Ca5501	0
stm04	Ec5001	0
stm04	Ec5002	0
stm04	Ec5003	1
stm04	Ec5004	1
stm04	Ec5005	0
stm04	Ec5501	0
stm04	Ec5502	1
stm04	Ec6001	0
stm04	Ga5501	0
stm04	Tb5501	0
stm05	Bv5501	1
stm05	Ca5501	0
stm05	Ec5001	1
stm05	Ec5002	1
stm05	Ec5003	0
stm05	Ec5004	0
stm05	Ec5005	0
stm05	Ec5501	0
stm05	Ec5502	0
stm05	Ec6001	0
stm05	Ga5501	0
stm05	Tb5501	0
stm06	Bv5501	0
stm06	Ca5501	0
stm06	Ec5001	0
stm06	Ec5002	0
stm06	Ec5003	0
stm06	Ec5004	0
stm06	Ec5005	0
stm06	Ec5501	1
stm06	Ec5502	0
stm06	Ec6001	1
stm06	Ga5501	0
stm06	Tb5501	1
stm07	Bv5501	0
stm07	Ca5501	1
stm07	Ec5001	0
stm07	Ec5002	0
stm07	Ec5003	0
stm07	Ec5004	0
stm07	Ec5005	1
stm07	Ec5501	0
stm07	Ec5502	0
stm07	Ec6001	0
stm07	Ga5501	1
stm07	Tb5501	0
stm08	Bv5501	1
stm08	Ca5501	0
stm08	Ec5001	1
stm08	Ec5002	0
stm08	Ec5003	0
stm08	Ec5004	0
stm08	Ec5005	0
stm08	Ec5501	1
stm08	Ec5502	0
stm08	Ec6001	0
stm08	Ga5501	0
stm08	Tb5501	0
